Index,Name,Bio Text,Keru Text,Wilex Text,Luna Text
TournamentChampion,Summit,"The original champion of the Windspire Tournament. He left the tournament soon after the very first two person team entered the tournament.  From his perspective, allowing teams to compete would let weaklings take the title of Champion. His anger at this change reached its height when he was defeated by a team and lost his title for the first time after he got it. After winning his title back, he would disappear, taking the Champion Ribbon with him.","He's the original champion of the tournament. Even after all this time in hiding, he still hits extremely hard. You will need to watch his attacks closely, as they will do a lot more damage if you fail to block them.<next>He also has the ability to block your attacks if you don't do them correctly.<next>His fighting style is one where he often does massive attacks that make him need to recover after doing them, so you should use that downtime to prepare yourself for his next moves.","""Real champion""? Yeah, right. Like you're anything but a coward for hiding up here. He hits hard, but blocking works better than normal against his attacks. If I mess up my attacks, he'll block them completely too.<next>After his bigger moves he'll take some time to recover, so I should watch out for those.","He looks a lot bigger than his brother, but he's been staying up here alone for a long time. I'll need to stay focused, since all his attacks will hurt a lot more if I don't block.<next>He'll even block my attacks if I mess them up too. His bigger attacks make him tired when he does them, so maybe that's a good time to heal myself."
Slime,Slime,"A very common creature in the Gemstone Islands. They are naturally curious, so they will usually approach anyone who comes near them. Anything they're curious about ends up being covered in slime, since they often jump into things to get a better look at them. Attacking them splits off a smaller version of themselves.","Slimes are pretty weak, but they have two different ways of stomping. Their higher stomp will deal Water damage while their lower stomp does normal damage. They are somewhat weak to electrical attacks.<next>Attacking them will split off a smaller version of themselves with less health, so using strong attacks on them can avoid that.","These little guys don't look very strong, but they can still stomp us pretty hard. Electricity is their weakness, so it's a good time for an Electro Stomp.<next>I should try to beat them in one hit, or else they will split off a smaller slime with less health.","Slimes like jumping around. Sometimes they jump low, but sometimes they can jump really high to hit us harder. Maybe I can learn something from them about jumping?<next>Hitting them splits off a cute mini slime, so I should try to beat them in one hit."
Slimewalker,Slimewalker,"A Slime that has taken a form similar to the jellyfish in the Gemstone Islands. They can launch slime balls at their enemies, which will hit the one who will take more damage from it.","These slimes look like the jellyfish in the Gemstone Islands, and they sometimes try to mimic them. They can attack by slashing with a sharp tentacle or by shooting a slime ball.<next>Their slime ball attack will target the one that will take the most damage from it, so defensive boosts may not be helpful here.","It looks like a jellyfish, but it's actually just another slime. They can slash us or shoot slime balls at us. They must be pretty smart, since they will shoot their slime at whichever of us will take the most damage.<next>Electric attacks are their weakness, so I should try using those against them.",It looks like a slimy jellyfish. They can slash at us or shoot water balls.
Slimeworm,Slimeworm,"A strange creature that anchors itself in place to draw nutrients from the ground. They are almost never seen outside of their anchored state. They launch water bombs out of their tail in order to defend themselves. Their attacks are quite slow, requiring a full turn to prepare themselves to fire.","Slimeworms are large creatures that draw nutrients from the ground to empower themselves. They can charge to give themselves Focus and Absorb, and they will shoot large slime balls after charging.<next>They also have thick skin that gives them high defense. However, they are weak to Earth damage.","These worms have high defense, so I probably need to Focus to be able to hit them hard enough. It looks like these guys have the same idea, since they keep doing charge attacks.","They're too tall for me to stomp on, so I'll have to use my hammer on them. I might have to Power Smash them since their defense is pretty high. They seem weak to Earth damage though, so maybe that's another way to beat them."
Slimebloom,Slimebloom,"A strange flower-like creature made of slime. Similar to Slimeworms, they anchor themselves in place to draw nutrients from the ground. However, they have weaker attacks since they are much smaller. They will attack by throwing balls of water at their target or by firing a lightning bolt at them. Their tentacles are electrified, making direct contact with them dangerous. However, they are weak to Paralyze despite being covered in electricity.","They are not actually flowers, but they still draw energy from the ground. You should be careful to block their attacks, since they can paralyze you or put you to sleep.<next>Their tentacles are also electrified, so you shouldn't stomp on them. Strangely, they are weak to being paralyzed despite being immune to electricity.","Weird looking flowers... Those tentacles are electrified so electrical attacks won't work on them. They can paralyze us if we're not careful, and they can also lob sleepy slime at us.<next>We better get rid of them fast so they can't paralyze us or put us to sleep. They're weak to being paralyzed, so maybe we should give them a taste of their own medicine.","I can't tell if these are flowers or not... Getting a closer look is probably a bad idea since I'll get shocked by their tentacles. They can zap and paralyze us, and they can also lob slime balls at us to put us to sleep.<next>We should get rid of them so they can't do that."
SirenFish,Siren Fish,"These strange fish are always covered in slime, which often forms into bubbles that they use to fly and attack. This is an adaptation to avoid predators, since there aren't any flying predators within the Gemstone Islands or the oceans they usually inhabit. They often sing songs, which can put their enemies to sleep or make their allies stronger.","These fish can fly using bubbles created from the slime on their skin. Their main attack is blowing sedative bubbles at you. They can also empower all their allies, so you should take care of them quickly.<next>However, they can't boost their allies if they're grounded, so that is another way to stop them from boosting everyone.","They're covered in slime... Shouldn't they be called ""Slimefish""? The bubbles they blow can put us to sleep, and they can also sing a song that boosts all their allies. They can't sing while on the ground so I better get them down when I can.","It looks like a flying worm, but apparently it's a fish of some kind. They can put us to sleep with their bubbles, or sing songs that can make their allies stronger. Looks like Wilex will have to get them down, since I have a hard time hitting flying things."
Urchiling,Urchiling,"Urchilings are very slow attackers, but their charge can also give themselves Astral Wall which makes it harder to prevent them from getting their charge attack done.","Urchilings charge up water attacks on both of you. They give themselves Astral Wall when they charge up, which makes it harder to stop their charge atatacks.",They charge up big water attacks but give themselves Astral Wall when they charge up so it's hard to stop them.,They're covered in spikes but they don't attack very fast. Hurting them might be hard since they give themselves Astral Wall when they charge up.
GoldenSlime,Golden Slime,"The rarest and the strongest of the slime types, Golden slimes are capable of mimicing others abilities or copying the forms of others. Golden Slimes can also invert enemy effects or extend their allies effects and heal them.",Golden slimes can copy moves from their allies or even turn into them. They can also splash you with Air/Electric damage and invert your effects or give their allies regeneration and extend their effects.,Golden slimes can turn into other enemies or copy their moves. They can also invert our effects or give their allies regeneration.,They're shiny but they can copy our other enemies moves or even turn into them. They can also invert our effects or give each other regeneration.
ElementalSlime,Elemental Slime,"Elemental slimes are immune to normal damage but weak to all elements and ailments. They apply buffs to others and can give allies Focus, Astral Wall or healing. They attack in a splash attack then single attack pattern for their elemental moves.","Elemental slimes are immune to normal damage, but weak to any other element. They can hit you with spread and stomp elemental attacks of any element, and their moves can also heal their allies or apply Focus or Astral Wall.",Elemental slimes have a lot of different elemental attacks. They can also heal or buff their allies so we shouldn't ignore them.,"They splash us with elemental damage, but they can get hurt by elemental stuff too."
NormalSlime,Normal Slime,"Normal slimes can resist all negative effects and elemental damage. Both of their attacks will cleanse positive effects from you, but their spread attack also inflicts Exhaust.","Normal slimes are immune to everything but normal damage, and they can also erase your buffs when they hit you.","They get rid of our buffs, and they can exhaust us. Nothing but normal damage can hurt them also.","You can't hurt them with anything but normal damage, so I guess that's what we're gonna do. They can get rid of our buffs and Exhaust us too, so we shouldn't ignore them."
SoftSlime,Soft Slime,"Soft slimes only take 1 damage from attacks but have relatively low health. They can heal their allies or give their allies Soften. Soft Slimes can only heal allies one at a time, so spread attacks are useful against them.","These fluffy slimes can only take 1 damage from your attacks, but you only need a few of them to defeat them. They can stomp on their allies to heal them or give them Soften.<next>Since they can only heal one at a time, spread attacks are good at dealing with them.","The stuff they're made of makes it hard to cut through them, anything I do only does 1 damage at a time. They can jump on others to heal them, so spread attacks can stop that.","It's hard to get a good hit on them so they only take one damage at a time, but they don't hve much health anyway. They jump on their allies to heal them, so spread attacks can stop that."
RigidSlime,Rigid Slime,"Rigid slimes can only take lehal damage. They use single target attacks or give themselves Quantum Shield. If left alone for too long, they can split into two with less health, which may be the only way to beat them if you don't have many high damage attacks.","Rigid slimes attack by jumping on you or by charging up for a bigger jump. Their stiff bodies will make them immune to any attack that doesn't kill them outright, but they can split themselves into two if they're left for too long.","They jump on us normally or charge up big jumps. Weak hits do nothing against them, but one strong hit will break them completely. They'll split apart if left alone for too long, so if we can't beat them normally that is another way to deal with them.","They jump at us or charge up bigger jumps. If we leave them alone, they'll split into two so we can wait if we can't hurt them.<next>Hitting them won't do anything unless we hit them hard enough to beat them in one hit."
FalseDragonArm,Arm,"The arm of the False Dragon. When it gets destroyed, it will reform while the False Dragon is underwater, so the arm will be back when the False Dragon resurfaces.",KeruDefault_FalseDragonArm,WilexDefault_FalseDragonArm,LunaDefault_FalseDragonArm
FalseDragon,False Dragon,"A massive, strange creature made from an amalgamation of many Slimes and Jellyfish in the Gemstone Islands. It loosely resembles the Water Dragon Aquaria. The power of the Water Core held the amalgam together, and so the removal of the Water Core led to the False Dragon's dissolution.<line><line>The False Dragon's main method of attack is diving underwater and then creating massive waves when it resurfaces.",KeruDefault_FalseDragon,WilexDefault_FalseDragon,LunaDefault_FalseDragon
AmalgamLeftArm,Left Arm,Weak physical moves,KeruDefault_AmalgamLeftArm,WilexDefault_AmalgamLeftArm,LunaDefault_AmalgamLeftArm
AmalgamRightArm,Right Arm,"The right arm of the Amalgam has many different elemental weaknesses, but it has stronger moves than the left arm. (stronger elemental stuff and buffs) (Morbid boost so that if you keep it alive too long it gets attack increase a lot)",KeruDefault_AmalgamRightArm,WilexDefault_AmalgamRightArm,LunaDefault_AmalgamRightArm
DiscordantAmalgam,Discordant Amalgam,"The noble goal of fostering cooperation between everyone on the Gemstone Islands was distorted into the creation of this amalgam. Its mind is filled with the contradicting thoughts and feelings of those it absorbed, with the only shared goal of growing the amalgam even further. The Amalgam's green coloration came from the combination of the blue of normal Slime and the yellow of Golden Slimes.",KeruDefault_AmalgamsWill,WilexDefault_AmalgamsWill,LunaDefault_AmalgamsWill
Blazecrest,Blazecrest,"Blazecrests are the strongest of the Flamecrests. They use their natural capabilities to fight enemies, seeing weapon users as weaklings who can't really fight. Their scales give them some defense, but they are weak to water attacks. The burning crests on their head and their burning clothing means that direct attacks will burn you. Blazecrests often see themselves as the ideal form of Flamecrests, since they are the strongest and have the strongest fire breath.<line><line>Their main attack is breathing a massive stream of fire to hit all their enemies at once. They can also roar at enemies to make them Berserk.","Blazecrests use their strong fire breath to hurt you, but they can also roar at you to make you Berserk.<next>They have higher health than other Flamecrests, but they have the same water weakness most other Blazecrests have, so water is the best way to beat them.","Their heads are on fire, so obviously water attacks are the way to go here. I should beat them first because their fire breath is pretty strong, and their roar attack can make us Berserk.","These hotheads are always looking to pick a fight! A bit of water should help them cool off, so we should try using that kind of attack."
Embercrest,Embercrest,"Embercrests are not as strong as Blazecrests and have much weaker fire breath, only being able to produce smaller fireballs instead of a massive stream of flame. They have more defense than Blazecrests but they still have the same water weakness. Embercrests are the majority of the Flamecrest population, making up roughly 50% of them.<line><line>They tend to use a sword in addition to their fiery attacks to fight enemies. They usually slash twice with their sword attacks.","Embercrests have some defense and they use their swords to attack. They use a dual slash pattern to attack, but they can also shoot a fireball to hit someone with Fire damage.<next>Embercrests have the same water weakness most other Flamecrests have, so try using water on them if you can.","Two swords... Don't they know one is enough? They can use both swords to attack or they can shoot fireballs at us. That armor they're wearing gives them some defense too. Water attacks are a good idea, but poison also works on them.","The armor they're wearing gives them some defense, but they're still weak to Water like almost everything else in the Caldera. They attack by slashing us or by shooting fireballs at us."
Ashcrest,Ashcrest,"Ashcrests are the weakest of the Flamecrests. Unlike other Flamecrests, they are not weak to water, but they are slightly weak to fire attacks instead. Ashcrests are often looked down upon by other Flamecrests because they can't breathe fire at all, and often times their crests aren't even on fire.<line><line>They tend to rely on bomb attacks since they are quite weak physically.","Ashcrests have the lowest health and defense of Flamecrests, but they don't have the same water weakness of other Flamecrests. They are actually slightly weak to fire damage though.<next>They use shock bombs and water bombs to attack instead of attacking directly.","Sneaky little guys... They can't breathe fire, but the bombs they throw are pretty annoying. Each bomb can only hit one of us, with one bomb being a water bomb and another bomb being a shock bomb.<next>They're not weak to water, but fire works fine against them.","They're pretty shy and scared, so they keep their distance to throw bombs at us. One of them is a water bomb and the other is a shock bomb. They're not weak to water, but they are weak to fire."
Flametongue,Flametongue,"Flametongues are an all female species of scaly mammals with very long tongues. Somehow, their tongues are longer than their bodies. They stick out their tongues to burn enemies from a distance.<line><line>Flametongues are found in small numbers all around the Infernal Caldera, but the largest group of them lives on Silver Island.","Flametongues are actually mammals, despite how they're covered in scales. They can burn both of you with their long tongues. Their thick scales give them a lot of defense and makes them almost immune to fire attacks.<next>Electric attacks are a good way of beating them.",Their tongues are really long... How do they fit in their bodies? They attack by licking both of us at the same time to burn us. I'll need to use electrical attacks to get through their thick scales.<next>Paralyzing them also seems like a good idea too.,"These girls are tough, even if they don't have as much health as everything else around here, and that's because of their big scales. They attack by licking us with their long burning tongues.<next>Wilex might have an easier time dealing with them since he has some Electric attacks he can use here."
Heatwing,Heatwing,"Heatwings are fiercely territorial, so they will attack anyone unfamiliar who intrudes on their territory. Their main attacks are swooping down on targets or flapping their wings to burn a large area with their burning wings. Like  many other fiery creatures, water attacks are especially effective against them.","Heatwings are flying reptiles with burning wings. Like many other burning creatures, they are weak to water damage, but you may need to bring them down to use water against them. They can flap their wings to spread fire to hit both of you.<next>Their other method of attack is to swoop down at a target twice.","Another fiery enemy... Water attacks are a good idea, but I'll have to get them down to hit them with one. The fiery wind they can blow with their wings isn't that strong, but they can also swoop down to hit us twice.","They're flying up high, so it looks like Wilex will have to deal with them. He should hit them with a Water attack since they're weak to those. They can swoop down on us twice to attack, or use their wings to blow fire onto us."
Lavaswimmer,Lavaswimmer,"These large reptiles have perpetually burning scales on their backs that make it dangerous to jump on them. Domesticated Lavaswimmers are often used as a source of leather, meat and eggs. However, wild Lavaswimmers often have stronger flames on their backs, which are better suited for making the infinitely burning leather that inhabitants of the Caldera wear.","Lavaswimmers are covered in burning scales that make it dangerous to come into contact with them. This is their main defense mechanism, as their attacks are somewhat weak. They can bite you and they can also shoot fireballs at you.<next>They aren't weak to water, but electric attacks are very effective against them, so that is a good way to beat them.","They have pretty weak attacks, but they can shoot fireballs at us. They have burning skin, which gives them a little bit of defense and makes them immune to fire. They're weak to electricity and paralysis, so that might be a way to beat them faster.","Lavaswimmers are big, but they don't have as strong attacks as other stuff in the Caldera. They have a lot of health though"
Pyrenfish,Pyrenfish,Pyrenfish can attack by shooting the oil from their bodies or by using the oil for Fire attacks. They can also sing a song that gives themselves Counter Flare and their allies Focus.,"These fish can fly using the oily bubbles on their backs. Their main attack is blowing oily bubbles to inflict Splotch, but they can also breathe fire. They can also empower all their allies and give themselves Counter Flare, so you should take care of them quickly.<next>However, they can't boost their allies if they're grounded, so that is another way to stop them from boosting everyone.","It's a fiery Sirenfish, so that's why they're Pyrenfish. The bubbles they blow can Splotch us, they can also breathe fire on us, and they can also sing a song that boosts all their allies. They can't sing while on the ground so I better get them down when I can.","It looks like a flying worm, but apparently it's a fish of some kind. They can cover us in oil with their bubbles, breathe fire, or sing songs that can make their allies stronger. Looks like Wilex will have to get them down, since I have a hard time hitting flying things."
GoldScreecher,Gold Screecher,Goldscreechers are stronger and faster versions of Heatwings. Each of their attacks hits many times.,"Goldscreechers are flying reptiles with burning wings that are a stronger version of Heatwings. Like many other burning creatures, they are weak to water damage, but you may need to bring them down to use water against them. <next>They can swoop down to you five times or spread flame onto you three times.","Another fiery enemy... Water attacks are a good idea, but I'll have to get them down to hit them with one. Their fiery wind hits us three times and they can swoop on us five times, so we shouldn't let them get too strong.","They're flying up high, so it looks like Wilex will have to deal with them. He should hit them with a Water attack since they're weak to those. They can swoop down on us five times to attack, or use their wings to blow fire three times onto us."
Infernoling,Infernoling,Infernolings are covered in very hot burning spikes that make it dangerous to get close to them. They can roar to Illuminate themselves and reduce the defense of their enemies.,KeruDefault_DesertMinibossA,They're too hot to get close to without hurting us,"They're too hot to get close to without hurting us, so maybe we can attack from afar?"
Magmaswimmer,Magmaswimmer,"Magmaswimmers are slow and large versions of Lavaswimmers. They attack slowly, waiting to charge up a massive fireball.","Magmaswimmers are covered in burning scales that make it dangerous to come into contact with them. They can also hide themselves when they charge up.<next>They aren't weak to water, but electric attacks are very effective against them, so that is a good way to beat them.","They attack pretty slowly, but they cn shoot big fireballs at us. They have burning skin, which gives them a little bit of defense and makes them immune to fire. They're weak to electricity and paralysis, so that might be a way to beat them faster.","Magmaswimmers are big, and they hide themselves when they charge up their big fireballs. I should hit them with Light when they do that."
Wyverlet,Wyverlet,"Wyverlets are juvenile Lava Wyverns. They are very territorial, though they usually prefer to fight intruders to the Molten Pit. They can blow flame wind twice or screech to reduce the attack and defense of their enemies while giving themselves Counter Flare. They can also counterattack to give themselves an attack boost and Counter Flare as well.","Wyverlets are flying reptiles with burning wings. Like many other burning creatures, they are weak to water damage, but you may need to bring them down to use water against them. They can flap their wings to spread fire to hit both of you twice.<next>They can also screech to deal Dark damage and apply Attack Down and Defense Down. They can also counterattack you to give themselves Attack Up and Counter Flare.","Another fiery enemy... Water attacks are a good idea, but I'll have to get them down to hit them with one. The fiery wind hits us twice, and they can screech to reduce our attack and defense. They can also counterattack too, so I should be careful of that.","They're flying up high, so it looks like Wilex will have to deal with them. He should hit them with a Water attack since they're weak to those. They can screech us as their attack and their counterattack, or use their wings to blow fire onto us twice."
LavaWyvern,Lava Wyvern,"A large beast that came from a deep part of the Infernal Caldera. The secrets to taming beasts like this were known only to the fallen House Roseeye.<line><line>Lepidol relies on this beast to fight for him. The bond between them appeared quite strong, until the beast left him behind after it was defeated.",KeruDefault_LavaWyvern,WilexDefault_LavaWyvern,LunaDefault_LavaWyvern
MetalWyvern,Metal Wyvern,The bright blue flame is created by burning metal compounds on its back,KeruDefault_MetalWyvern,WilexDefault_MetalWyvern,LunaDefault_MetalWyvern
EyeSpore,Eye Spore,"Eye Spores are small fungal spores that can move on their own that can only grow in the darkness of the Shrouded Valley. These spores can infect targets to turn them into spore zombies. However, the spore infection can only take hold if the target actually dies, so they will try their best to focus on vulnerable targets. The spores also cannot survive outside of the Shrouded Valley, so those only visiting the Valley for a short time are rarely infected by them.<line><line>Eye spores attack by shooting small spore balls at targets. They are weak to Fire and Earth damage.","If you're feeling like you're being watched down here, there's a good chance it's one of these creatures. They focus most of their attacks on the enemy with the lowest health, and their attacks get stronger when you have less health.<next>Make sure you keep your health as high as possible. Fire and Earth are their main weaknesses so you should use those damage types to beat them quickly.","I don't like how they're looking at me... They will try to hit whoever has the lowest health, and their attacks are a lot stronger when we have less health. We should get rid of them before our hp gets too low.<next>Fire attacks are one of their weaknesses, so that's what I should do to beat them.","They're so creepy! The spore gunk they shoot will hurt a lot more when we have less health, so I should make sure to keep our health up. I can also use Earth damage to get rid of them fast."
SpikeShroom,Spike Shroom,"These mushrooms are balls of very sharp spikes, and their spikes can inflict poison on attackers. Their spikes are very stiff, giving them high defense. Spike Shrooms will try to poke creatures they sense in order to spread their spores. They are weak to Electric and Earth damage.","Spike Shrooms are covered in spikes, like what the name suggests. You should avoid being hit by their spikes, since all of them are filled with poison. Their spikes give them high defense, but Electric or Earth attacks will get rid of them quickly.","All those spikes are make it hard to get a good hit on them, but electricity will still work pretty well. I won't get poked by the spikes if I Electro Stomp them, so that's probably the way to beat these things.",So sharp and pointy... I should get rid of them fast so I don't get poked. They look like they can poison us too. I feel like a Leafy Stomp will do a good job at that.
Shrouder,Shrouder,"A spore creature that has absorbed some of the illusory power of the Shrouded Valley. This allows them to hide their allies from attacks. These creatures are mostly hollow on the inside, making them buoyant enough to fly.<line><line>They attack by spreading large clouds of spores to weaken enemies. They can only shroud their allies while airborne, so grounding them is a good way to prevent that.","These are one of the more insidious creatures of the Shrouded Valley. Shrouders can hide their allies from your attacks, and they can blow clouds of spores that make it harder to use skills.<next>Make sure you remove them first or else you'll be fighting an uphill battle.",Shrouders can hide our enemies from attacks and blow dark clouds that make it harder for us to move. I better get rid of it first so it won't slow us down.,It's flying up high and it can hide all our enemies from us. Wilex should take it out first so that won't happen.
HoarderFly,Hoarder Fly,"These creatures can convert the dark energy of the Valley into healing light, but they hoard this energy instead of using it for the most part. Their bites actually heal their targets by a small amount, but their bites also inject strong venom as well.<line><line>Hoarder Flies are commonly hunted for food as they are one of the few non-fungal creatures in the Shrouded Valley.","Hoarder Flies have healing magic, but they almost never use it willingly. Their bites will heal you for a small amount, but their bites have some venom that will poison you. They can also swoop down on you multiple times to do damage normally.","Apparently they have healing abilities, but they usually keep it all to themselves, which is pretty good for us. They will fight pretty viciously to defend themselves though.<next>Their bites heal us a tiny amount but also poisons us, and they can also swoop down on us multiple times. We should get rid of it first so it can't poison us.","They're one of the few light sources down in the Valley, but they're still pretty dangerous. Their bites heal us a little bit but give us strong Poison. They can also swoop down on us multiple times as their attack."
Mosquito,Mosquito,"Mosquitos distrust almost everyone they come across, due to their fear of the spore zombies in the Shrouded Valley. A spore infection causes the target to act slightly differently than they normally do, so mosquitos are hyper vigilant for small behavior changes in those they know. Outsiders can't become spore zombies, but Mosquitoes are still paranoid around them. Their weapons of choice are needles, which they use to weaken opponents. They can also drain health from opponents by biting them, and they usually target the one who looks healthiest.","Mosquitoes will try to bite you and suck your blood to heal themselves, but they also have a needle to defend themselves with. Their needle will Paralyze you as well as inflict Sunder which will lower your defense.<next>They tend to target whoever looks healthiest when they're looking for someone to bite. You should take care of them quickly, so they don't heal back the damage you do to them.","Bloodsuckers... They drain our blood to heal themselves, and they try to bite whoever looks healthiest. They also have needles they can use to Paralyze us and lower our defense.<next>Luna doesn't do well around needles, so I should probably help her out with this one.","Why do they have to like needles so much? They can Paralyze and lower our defense with their needles, or suck our blood with their big needle mouth. Okay, I can do this, I just have to take care of them before they can heal themselves too much."
Toxiwing,Toxiwing,Toxiwings have toxic wings and attacks by draining health from enemies or by swooping down to deal Fire element and give themselves Counter Flare.,Toxiwings attack by draining health from you or by swooping down and burning you and giving Counter Flre to themselves. Their health drain attack targets the healthier of you two while the swoop attack targets the least healthy of you.,"They drain our blood to heal themselves, and they try to bite whoever looks healthiest. They can also swoop down on whoever is the least healthiest to do fire damage and give themselves Counter Flare.",They have needle beaks and can suck our blood through them. Yuck! They'll probably be after me more often since they like to hit whoever is healthiest. They can also swoop on us to do fire dmage and give themselves Counter Flare.
GoldFly,Gold Fly,"Gold flies don't have the same healing as Hoarder Flies, but they can strengthen themselves whenever their allies die. They can blow golden wind to deal Air/Electric damage, and they can bite to apply Sunder.","Gold flies don't have the same healing as Hoarder Flies, but they can strengthen themselves whenever their allies die. They can blow golden wind to deal Air/Electric damage, and they can bite to apply Sunder.","They can blow electric wind at us or bite us to make us weaker.<next>They get stronger whenever any other enemy dies, so we should get rid of it first so it can't get any stronger.","They're really bright, but they're still pretty dangerous. Their bites give us Defocus and Sunder. They can also swoop down on us multiple times as their attack.<next>Whenever we get rid of other enemies, they get stronger, so we gotta get rid of it first!"
MawSpore,Maw Spore,"Maw Spores can bite you to steal your positive effects, but they can also devour other enemies that have low health to strengthen themselves. They can also lick you to deal Water damage and steal your energy as well. Attacking them will provoke a counterattack, like with normal Eye Spores.","Maw Spores can bite you to steal your positive effects, but they can also devour other enemies that have low health to strengthen themselves. They can also lick you to deal Water damage and steal your energy as well.<next>Attacking them will provoke a counterattack, so be careful when fighting them.",They can eat our buffs and eat their allies too to get stronger. Taking them out first will stop them from getting too strong. They can lick us to steal energy.,"They can eat our buffs but they can also eat their own allies too. They can lick us to steal our energy too, so we better get rid of them first!"
CaveSpider,Cave Spider,Cave Spiders are smaller versions of the Spore Spider. They can protect themselves or weave copies of other enemies. They can hang from their own silk to fly up.,Cave Spiders can hang from their own silk and they can also shield themselves or weave copies of other enemies.,"We've dealt with a bigger one before, this one is no problem. The cave spiders around here can shield themselves or make copies of other enemies, and they can also fly up by hanging from their silk.",Why does everything around here have to be so creepy? These spiders can shield themselves or weave up more friends for themselves.
Obscurer,Obscurer,"Obscurers are stronger versions of Shrouders. The main thing that makes Obscurers so dangerous is that nothing can hurt them as long as any of their allies has more health than them. However, Obscurers also have negative defense so they are easy to remove after their allies were weakened",The worst of the worst of the Shrouded Valley. Obscurers can hide their allies from your attacks but they can't be hit if any of their allies are healthier than them. They can also blow clouds of spores that make it harder to use skills and permanently boosts their attack.<next>Make sure you get through everything quickly so you can deal with them.,Obscurers can hide our enemies from attacks and blow dark clouds that make it harder for us to move and boosts them permanently. We can't even hit them unless everything healthier than them is gone. We have to go fast so they can't get too strong.,It's flying up high and it can hide all our enemies from us. We can't touch it unless everything with more health is gone. Maybe that's what I cn doing?
SporeSpider,Spore Spider,"A large spider whose den is in the deepest part of the Shrouded Valley. Mosquitoes are taught from a young age to never venture too close to her territory, lest they become her next meal, or become a spore zombie. She has the power to manipulate and weave fungus into various structures. She will summon different types of structures to shield herself from different attacking directions and give herself healing and buffs.",KeruDefault_SporeSpider,WilexDefault_SporeSpider,LunaDefault_SporeSpider
MoonSpider,Moon Spider,"While sunlight has a very difficult time making it to the ground in the Shrouded Valley, moonlight seems to have an easier time getting there. This version of the Spore Spider has managed to absorb some of this moonlight, taking on the power to take different forms with different defensive properties.",KeruDefault_MoonSpider,WilexDefault_MoonSpider,LunaDefault_MoonSpider
Shieldwing,Shieldwing,"Shieldwings are large flightless birds covered in a thick layer of feathers that collect ice and snow on them. They are very protective of their territory and flock.<line><line>Shieldwings will often protect their allies with ice magic. Intruders on their territory are likely going to be pecked, but Shieldwings also have an icy screech attack that freezes their enemies. Their feathers are sometimes used to make feather dusters.","Shieldwings have thick, icy feathers that give them high defense but also make them vulnerable to Fire damage. They will usually attack whoever has the most health, but they can also screech at you to Freeze everyone and deal Light damage.<next>The screech will reduce their defense because of the Light damage, so you should keep their health up.","Shieldwings are covered in thick feathers, so they have a lot of defense. Fire attacks will hurt them a lot more though. Poisoning them is also a good idea too.<next>They can screech at us to freeze us both, and they can boost all their allies defense, so we should take them down fast.","Wow, that's a really bulky birdie! It's got a lot of defense, but they're pretty weak to Fire damage. It likes going after whoever has more health, so it'll probably go after me more often."
Honeywing,Honeywing,"Similar to Honeybuds, they produce nectar to heal their allies. However, this comes from their wings, instead of coming from a flower on their heads. Honeywings can also spit at their enemies to deal water damage, but their healing is slightly weaker immediately after doing that. Honeywing honey is one of the components used to produce Royal Syrup.","Honeywings can produce honey from their wings to heal their allies. They can spit some nectar at their enemies to do weak Water damage, or they can swoop down normally to do Normal damage.<next>They are weak to Dark damage, and they are weak to becoming Dizzy or Paralyzed.","Honeywings can heal everyone, so I better take them out first. Paralyzing them will work, but that won't stop them from healing.","These little birdies make tasty honey from their wings, and they use it to heal all their allies. They can attack by swooping down at us or by spitting at us. We should probably target them first, so that they stop healing everyone."
Shimmerwing,Shimmerwing,"These birds have sparkling feathers resembling the snowy ground of the Radiant Plateau, making them often difficult to see when on the ground.<line><line>Their main attack is to screech loudly in order to dazzle their enemies. Shimmerwings can also empower their allies by singing a song. Flocks of Shimmerwings are very dangerous because they can all empower each other with their songs.","These loud birds are known for their painfully loud screeches that can make you Dizzy. The screech reduces your defense, so keeping your health up is a good idea.<next>They can also sing a song that gives Focus to all their allies, but they can't sing this song from the ground, so keeping them down may be a good strategy.","They're loud and obnoxious, and they're everywhere in the Radiant Plateau. They screech loud enough to make us Dizzy, and they can also sing a song that makes all of their allies stronger.<next>Grounding them will stop them from boosting everyone, but it won't stop their ear piercing screeches. I better shut them up as soon as I can.","Their songs are beautiful, but they also like screeching at us to make us Dizzy. Their songs also make their allies stronger, so we should probably stop that too."
