File version: 1,Name,Article,Fluff text,Effect text,Clarification Text,Warning Text
RabbitCake,Rabbit Cake,a,"A large, intricate cake with many complex decorations on it. The pinnacle of Torstrum's skill.",Restores 25 hp and 25 ep to all allies and makes their next items 2.0x as strong.,Item Boost multiplies healing and effect durations of your next item.,
GoldenCarrot,Golden Carrot,a,"A high quality, golden carrot.",Restores 60 hp to one ally.,,
RoyalSyrup,Royal Syrup,some,Rare syrup that requires the purest nectar to produce.,Restores 60 ep to one ally.,,
SunTomato,Sun Tomato,a,"A big, juicy tomato that makes you stronger for a while.",Restores 20 hp and 5 ep to one ally and gives them Attack Up 1 for 4 turns.,,
SunSeed,Sun Seed,a,An edible seed that heals you slowly.,Restores 36 hp to one ally over 6 turns.,,
FlashBud,Flash Bud,a,"A strange, crystalline bud imbued with some power from the Realm of Possibility.",Restores your stats to what they were before the battle started.,Can revive dead allies.,1/battle
GoldenSalad,Golden Salad,a,A healthy salad made from diced Golden Carrots.,Restores 90 hp to one ally. Surplus HP becomes X Absorb where X = surplus / 10 rounded up.,,
RoyalCandy,Royal Candy,a,Sweet candy that makes it easier to move.,Restores 90 ep to one ally. Surplus EP becomes Endurance Up X for 3 turns where X = surplus / 10 rounded up.,,
BerryGolden,Berry Golden,a,A Golden Carrot covered in Berry Syrup.,Restores 60 hp and 6 ep to one ally.,,
FlowerGolden,Flower Golden,a,A Golden Carrot covered in Flower Syrup.,Restores 60 hp and 12 ep to one ally.,,
HoneyGolden,Honey Golden,a,A Golden Carrot covered in Honey Syrup.,Restores 60 hp and 30 ep to one ally.,,
FluffGolden,Fluff Golden,a,A Golden Carrot covered in Snow Fluff.,Restores 18 hp and 36 ep to one ally. Becomes a Tuft Golden when used.,,
TuftGolden,Tuft Golden,a,A Golden Carrot with a Snow Tuft wrapped around it.,Restores 36 hp and 18 ep to one ally.,,
RoyalGolden,Royal Golden,a,A Golden Carrot covered in Royal Syrup.,Restores 60 hp and 60 ep to one ally.,,
RoyalCarrot,Royal Carrot,a,A carrot covered in Royal Syrup.,Restores 6 hp and 60 ep to one ally.,,
GoldenCake,Golden Cake,a,A golden cake big enough to share.,Restores 40 hp and 40 ep to all allies.,,
GoldenPudding,Golden Pudding,a,Pudding made from Golden Carrots that heals you over time.,Restores 54 hp and 54 ep to one ally over 3 turns.,18 hp and 18 ep per turn.,
RoyalBronze,Royal Bronze,a,A Bronze Carrot covered in Royal Syrup.,Restores 12 hp and 60 ep to one ally.,,
RoyalSilver,Royal Silver,a,A Silver Carrot covered in Royal Syrup.,Restores 30 hp and 60 ep to one ally.,,
RoyalTwins,Royal Twins,a,Twin carrots covered in Royal Syrup.,Restores 36 hp and 36 ep to one ally. Becomes a Royal Half when used.,,
RoyalHalf,Royal Half,a,A Half Carrot covered in Royal Syrup.,Restores 18 hp and 18 ep to one ally.,,
SunMuffin,Sun Muffin,a,A seed covered muffin that heals you over a long period of time.,Restores 64 hp to one ally over 8 turns.,,
SolarSpaghetti,Solar Spaghetti,some,Delicious pasta that makes you stronger for a while.,Restores 35 hp and 15 ep to one ally and gives them Attack Up 2 for 4 turns.,,
RoyalSalad,Royal Salad,a,"A salad fit for royalty, made with the finest ingredients.",Restores 100 hp to one ally. Surplus HP becomes X Focus where X = surplus / 10 rounded up.,,
MoonPop,Moon Pop,a,Sugary candy that makes it hard to see but makes you hard to see.,Restores 60 ep to one ally and gives them Ethereal for 2 turns but Dizzy for 2 turns.,,
SunSauce,Sun Sauce,some,Sauce as hot as the sun! Massively increases your power for a short time.,Gives an ally Attack Up 7 for 1 turn but also Berserk for 2 turns.,,
SourSmoothie,Tangy Smoothie,a,"The tanginess makes it easier to move for a short time, but also paralyzes you for a short time.","Restores 23 ep to one ally and gives them Endurance Up 5 for 2 turns, but also Paralyze for 2 turns.",,
CelestialSoup,Celestial Soup,a,Special soup that reminds you of the night sky.,Restores 30 se to one ally.,,
RoyalDinner,Royal Dinner,a,A delicious dinner fit for royalty. Increases your stats for a long time.,"Restores 50 hp and 50 ep to one ally, and gives them Attack Up 2 for 5 turns, and Defense Up 2 for 5 turns.",,
CelestialMuffin,Celestial Muffin,a,A special muffin that can only be eaten while calm.,Restores 100 hp and 100 ep to all allies.,,Not usable in battle.
PolarCaramel,Polar Caramel,a,Creamy candy that restores your energy over time and can make you stronger and more protected. A recipe only Gourmand can make.,Restores 60 ep to one ally and gives them Energy Regen 15 for 3 turns. Surplus EP becomes Attack Up X and Defense Up X for 3 turns where X = surplus / 15 rounded up.,,
CelestialParfait,Celestial Parfait,a,A large dessert topped with a variety of fruits and berries. Made with Stella's patience.,"Restores 30 hp, 30 ep and 30 se to all allies, and gives them Ethereal for 1 turn.",,
SupremeDessert,Supreme Dessert,a,"Incredibly difficult to make, but the flavor is well worth it.","Restores 100 ep to all allies and gives them Hustle for 1 turn, Focus 3 and Absorb 3. Surplus EP becomes Attack Up X and Defense Up X for 3 turns where X = surplus / 20 rounded up.",,
SupremeDinner,Supreme Dinner,a,The hardest recipe to create in the world. The flavor is well worth it.,"Restores 40 hp, 40 ep and 40 se to all allies, gives them Ethereal for 1 turn, and makes their next items 2.0x as strong.",Item Boost multiplies healing and effect durations of your next item.,
AetherCarrot,Aether Carrot,an,A hardy carrot with a spicy yet invigorating taste.,"Restores 100 hp to one ally, and gives them Attack Up 3 for 3 turns, but Defense Down 3 for 3 turns.",,
CrystalCarrot,Crystal Carrot,a,A rare carrot that is hard to eat but very refreshing.,"Restores 100 hp to one ally, and cures all negative effects on one ally.",,
MiracleSyrup,Miracle Syrup,a,Miraculous syrup that makes you feel ready to take on the world.,Restores 100 ep to one ally. This is a Miracle item.,Miracle items can revive dead allies or allow an ally to survive 1 lethal hit per battle.,1/battle
StellarSyrup,Stellar Syrup,a,Sparkling syrup that has an intense calming effect.,"Restores 100 ep to one ally, and gives them Defense Up 3 for 3 turns, but Attack Down 3 for 3 turns.",,
PlagueRoot,Plague Root,a,A strange root that worsens ailments.,Negative effects of the target last one turn longer.,This is still affected by the status turn limit.,
GoldenApple,Golden Apple,a,Shiny golden apple from the tallest tree in the Verdant Forest. Very few people are worthy of eating one.,Restores 100 hp to one ally and increases their Max HP by 5.,Max HP boost lasts until the end of battle.,1/battle
EmeraldLime,Emerald Lime,an,"A rare, shiny fruit that grows only in the Oasis.","Restores 100 ep to one ally, gives them Absorb 6 and increases their max EP by 5.",Max EP boost lasts until the end of battle.,1/battle
AzureRose,Azure Rose,an,"An special rose that burns eternally with a blue flame. Massively increases your attack for a short time, but also gives you a permanent boost.",Gives one ally Attack Boost 1 and Focus 6.,Attack Boost 1 lasts until the end of battle.,1/battle
RubyFruit,Ruby Fruit,a,Rare fruit that can only grow underwater.,Gives one ally Endurance Boost 1 and increases the duration of all their effects by 1.,Endurance Boost 1 lasts until the end of battle.,1/battle
VoidIcicle,Void Icicle,a,The center of this icicle is unusually dark.,"Deals 5 Light + Dark damage to any target, and gives the user Defense Boost 1.","Defense Boost 1 lasts until the end of battle. Light + Dark damage boosted up to +2.0x when the enemy is high HP or low HP, not boosted at half HP.",1/battle
DiamondMushroom,Diamond Mushroom,a,"A bright, shiny mushroom that only grows in the darkest of places.",Restores 15 stamina to one ally and gives them Agility Boost 1.,Agility Boost 1 lasts until the end of battle.,1/battle
CursedStew,Cursed Stew,a,Punishment for your culinary crimes!,Removes all the target's hp and ep and gives them permanent Poison.,,
AetherSalad,Aether Salad,an,The energy within Aether Carrots is quite volatile. Somehow cooking it makes it drain your energy instead of healing you.,Trade all your EP for an attack boost. Lost EP becomes Focus X and Attack Up X for 3 turns where X = surplus / 15 rounded up.,,
CrystalSalad,Crystal Salad,a,A refreshing salad made from diced Crystal Carrots.,Restores 100 hp to one ally and cures all negative effects. Surplus HP becomes Health Regen X for 3 turns where X = surplus / 10 rounded up.,,1/battle
StellarCandy,Stellar Candy,a,The power of the stars will leave you weak and yet well defended.,Trade all your HP for a defense boost. Lost HP becomes Absorb X and Defense Up X for 3 turns where X = surplus / 15 rounded up.,,
MiracleCandy,Miracle Candy,a,Miraculously sweet candy that fills you with energy.,Restores 100 ep to one ally. This is a Miracle item. Surplus EP becomes Energy Regen X for 3 turns where X = surplus / 10 rounded up.,Miracle items can revive dead allies or allow an ally to survive 1 lethal hit per battle.,1/battle
StellarAether,Stellar Aether,a,The bottomless void reminds you of your unlimited potential.,"Restores 100 hp and 100 ep to one ally and gives them Attack Up 4 and Defense Up 4 for 2 turns, but also Attack Reduction 2 and Defense Reduction 2.",,
MiracleCrystal,Miracle Crystal,a,The bright shine fills you with hope.,"Restores 100 hp and 100 ep to one ally, cures all negative effects on one ally. This is a Miracle item.",Miracle items can revive dead allies or allow an ally to survive 1 lethal hit per battle.,1/battle
AetherCake,Aether Cake,an,"A dark cake big enough to share, but it slightly lowers your stats over time.",Restores 60 hp and 60 ep to all allies but makes them lose 12 hp and 12 ep over 3 turns.,-4 hp and -4 ep per turn.,
CrystalCake,Crystal Cake,a,A crystallized cake big enough to share.,Restores 60 hp and 60 ep and cures all negative effects on all allies.,,1/battle
AetherPudding,Aether Pudding,an,Pudding made from Aether Carrots that heals you over time but hurts you when used.,"Restores 75 hp and 75 ep to one ally over 3 turns, but makes you lose 21 hp and 21 ep immediately.",,
CrystalPudding,Crystal Pudding,a,Pudding made from Crystal Carrots that heals you over time.,Restores 75 hp and 75 ep over 3 turns to one ally and cures all negative effects on one ally.,,1/battle
CrystalMeringue,Crystal Meringue,a,"A refreshing, sweet treat.",Restores 45 hp and 45 ep over 3 turns to all allies and cures all negative effects on all allies.,,1/battle
MiracleCaramel,Miracle Caramel,a,Special caramel that tastes like miracles. It's a little sticky though…,"Restores 125 hp, 125 ep over 5 turns, but inflicts Sticky for 3 turns. This is a Miracle item.",Sticky: Can't use items. Miracle items can revive dead allies or allow an ally to survive 1 lethal hit per battle.,1/battle
StellarCaramel,Stellar Caramel,a,Special caramel that tastes like outer space. It's a little sticky though…,"Restores 60 hp, 60 ep, 60 se over 5 turns, but inflicts Sticky for 3 turns.",Sticky: Can't use items,
BoosterShake,Booster Shake,a,The endless energy from its ingredients makes this shake always have bubbles.,"Increases the potency of the target's effects by 1, but reduces their durations by 1.",Does not apply to effects with an infinite duration.,
DiluteShake,Dilute Shake,a,"The liquid in the shake always seems to remain calm, no matter how you jostle it.","Increases the duration of the target's effects by 1, but reduces their potencies by 1.",Does not apply to effects with an infinite duration.,
InversionStew,Inversion Stew,an,The two carrots come together to make a strangely sour stew.,"Inverts the target's ailments, buffs and debuffs.",Replaces effects with their opposites. Normal ailments will be replaced with other ailments.,
ThickShake,Thick Shake,a,The swirl in this shake never seems to stop moving.,"Gives an ally Effect Stasis, Immunity and Seal for 2 turns.",Effect Stasis stops effect durations from going from 1 to 0 turns. Immunity and Seal together prevent you from gaining most effects.,
MiracleApple,Miracle Apple,a,A miraculous apple that very few people are worthy of eating.,"Restores 100 hp to one ally, gives them Endurance 2 for 3 turns and increases their Max HP by 10. This is a Miracle item.",Max HP boost lasts until the end of battle. Miracle items can revive dead allies or allow an ally to survive 1 lethal hit per battle.,1/battle
Limeade,Limeade,a,A special drink that makes you more energized for a long time.,"Restores 100 ep to one ally, gives them Focus 6, Absorb 6 and increases their max EP by 10.",Max EP boost lasts until the end of battle.,1/battle
FlamingTea,Flaming Tea,a,Somehow safe to drink. Gives you a massive attack boost.,Gives one ally Attack Boost 1 and Focus 9.,Attack Boost 1 lasts until the end of battle.,1/battle
RubyJuice,Ruby Juice,a,Rare juice that makes it easier to move.,Gives one ally Endurance Boost 1 and increases the duration of all their effects by 2.,Endurance Boost 1 lasts until the end of battle.,1/battle
VoidCone,Void Cone,a,Eat it and throw it at your enemies!,"Deals 8 Light + Dark damage to any target, and gives the user Defense Boost 1.","Defense Boost 1 lasts until the end of battle. Light + Dark damage boosted up to +2.0x when the enemy is high HP or low HP, not boosted at half HP.",1/battle
DiamondSoup,Diamond Soup,a,Soup created from a Diamond Mushroom that makes you move faster.,Restores 25 stamina to one ally and gives them Agility Boost 1.,Agility Boost 1 lasts until the end of battle.,1/battle
SpicyEgg,Spicy Egg,a,A spicy egg that makes you stronger.,Gives an ally Attack Up 1 for 4 turns.,,Disappears after battle.
LavaEgg,Lava Egg,a,A hot egg that can be thrown at enemies.,Deals 4 Fire damage to all enemies.,"<commontext,explainfire>",Disappears after battle.
ShockEgg,Shock Egg,a,A shocking egg that can be thrown at enemies.,"Deals 4 Air/Electric damage to any target, and inflicts Paralyze for 2 turns.","<commontext,explainair>",Disappears after battle.
SourEgg,Sour Egg,a,A sour egg that makes you energized.,Restores 12 ep to one ally.,,Disappears after battle.
LeafyEgg,Leafy Egg,a,A leafy egg that can be thrown at enemies.,"Deals 4 Earth damage to any target, and inflicts Dizzy for 2 turns.","<commontext,explainearth>",Disappears after battle.
SweetEgg,Sweet Egg,a,A sweet egg that makes you more healthy.,Restores 12 hp to one ally.,,Disappears after battle.
WaveEgg,Wave Egg,a,A slimy egg that can be thrown at enemies.,Deals 4 Water damage to any target and inflicts Sleep for 2 turns.,"<commontext,explainwater>",Disappears after battle.
BitterEgg,Bitter Egg,a,A bitter egg that makes you more protected.,Gives an ally Defense Up 1 for 4 turns.,,Disappears after battle.
LightEgg,Light Egg,a,A bright egg that can be thrown at enemies.,Deals 4 Light damage to any target.,"<commontext,explainlight>",Disappears after battle.
DarkEgg,Dark Egg,a,A dark egg that can be thrown at enemies.,Deals 4 Dark damage to any target.,"<commontext,explaindark>",Disappears after battle.
SilverEgg,Silver Egg,a,A silvery egg that can be thrown at enemies.,Deals 8 Light damage to any enemy. Inflicts Attack Down 1 and Defense Down 1 for 4 turns.,"<commontext,explainlight>",Disappears after battle.
GoldenEgg,Golden Egg,a,A golden egg that gives you several boosts.,Restores 12 hp and 12 ep to one ally and Attack Up 1 and Defense Up 1 for 4 turns.,,Disappears after battle.
