File version: 2,HP,EP,SE,Stamina,SellPrice,Effects,Overheal/Pay Effect,OverhealDivisor,Properties,Weird,UseAnim,ItemQuality,IsAttackItem,DamageType,DamageProperties,BaseDamage,Chapter,Recipeorbase
CrystalSalad,100,,,,67,,HPRegen,10,Cure|Limited,FALSE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
StellarCandy,,,,,67,,AbsorbDefense,15,,TRUE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
MiracleCandy,,100,,,67,,EPRegen,10,Miracle|Limited,FALSE,EatGood,GridFillRecipe,FALSE,,,,9,TRUE
StellarAether,100,100,,,134,AttackUp:4/2|DefenseUp:4/2|AttackReduction:2/X|DefenseReduction:2/X,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
MiracleCrystal,100,100,,,134,,,,Miracle|Limited,FALSE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
AetherCake,60,60,,,74,HealthLoss:4/3|EnergyLoss:4/3,,,TargetAll,FALSE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
CrystalCake,60,60,,,74,,,,TargetAll|Cure|Limited,FALSE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
AetherPudding,75,75,,,81,,,,HealOverTime,TRUE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
CrystalPudding,75,75,,,81,,,,HealOverTime|Cure|Limited,FALSE,Eat,GridFillRecipe,FALSE,,,,9,TRUE
CrystalMeringue,45,45,,,88,,,,TargetAll|HealOverTime|Cure|Limited,FALSE,Eat,GoodRecipe,FALSE,,,,9,TRUE
MiracleCaramel,125,125,,,67,Sticky:1/3,,,Miracle|Limited|SlowHealOverTime,FALSE,EatGood,GoodRecipe,FALSE,,,,9,TRUE
StellarCaramel,60,60,60,,67,Sticky:1/3,,,SlowHealOverTime,FALSE,EatGood,GoodRecipe,FALSE,,,,9,TRUE
BoosterShake,,,,,134,,,,NoOverworld,TRUE,Drink,WeirdRecipe,FALSE,,,,9,TRUE
DiluteShake,,,,,134,,,,NoOverworld,TRUE,Drink,WeirdRecipe,FALSE,,,,9,TRUE
InversionStew,,,,,134,,,,NoOverworld,TRUE,Drink,WeirdRecipe,FALSE,,,,9,TRUE
ThickShake,,,,,134,EffectStasis:1/2|Immunity:1/2|Seal:1/2,,,NoOverworld,FALSE,Drink,WeirdRecipe,FALSE,,,,9,TRUE
MiracleApple,100,,,,100,MaxHPBoost:10/X|EnduranceUp:2/3,,,Limited,FALSE,EatGood,Recipe,FALSE,,,,9,TRUE
Limeade,,100,,,100,MaxEPBoost:10/X|Focus:6/X|Absorb:6/X,,,Limited,FALSE,Eat,Recipe,FALSE,,,,9,TRUE
FlamingTea,,,,,100,AttackBoost:1/X|Focus:9/X,,,Limited|NoOverworld,FALSE,Eat,Recipe,FALSE,,,,9,TRUE
RubyJuice,,,,,100,EnduranceBoost:1/X,,,Limited|NoOverworld,TRUE,Eat,Recipe,FALSE,,,,9,TRUE
VoidCone,,,,,100,DefenseBoost:1/X,,,Limited|NoOverworld,FALSE,Eat,Recipe,TRUE,Light|Dark,,8,9,TRUE
DiamondSoup,,,,25,100,AgilityBoost:1/X,,,Limited|NoOverworld,FALSE,Eat,Recipe,FALSE,,,,9,TRUE
SpicyEgg,,,,,34,AttackUp:1/4,,,Spectral|NoOverworld,FALSE,Eat,MagicEgg,FALSE,,,,10,FALSE
LavaEgg,,,,,34,,,,Spectral|NoOverworld,FALSE,None,MagicEgg,TRUE,Fire,,4,10,FALSE
ShockEgg,,,,,34,,,,Spectral|NoOverworld,FALSE,None,MagicEgg,TRUE,Air,,4,10,FALSE
SourEgg,,12,,,34,,,,Spectral|NoOverworld,FALSE,EatBad,MagicEgg,FALSE,,,,10,FALSE
LeafyEgg,,,,,34,,,,Spectral|NoOverworld,FALSE,None,MagicEgg,TRUE,Earth,,4,10,FALSE
SweetEgg,12,,,,34,,,,Spectral|NoOverworld,FALSE,Eat,MagicEgg,FALSE,,,,10,FALSE
WaveEgg,,,,,34,,,,Spectral|NoOverworld,FALSE,None,MagicEgg,TRUE,Water,,4,10,FALSE
BitterEgg,,,,,34,DefenseUp:1/4,,,Spectral|NoOverworld,FALSE,EatBad,MagicEgg,FALSE,,,,10,FALSE
LightEgg,,,,,34,,,,Spectral|NoOverworld,FALSE,None,MagicEgg,TRUE,Light,,4,10,FALSE
DarkEgg,,,,,34,,,,Spectral|NoOverworld,FALSE,None,MagicEgg,TRUE,Dark,,4,10,FALSE
SilverEgg,,,,,67,AttackDown:1/4|DefenseDown:1/4,,,Spectral|NoOverworld,FALSE,None,MagicEgg,TRUE,Light,,8,10,FALSE
GoldenEgg,12,12,,,100,AttackUp:1/4|DefenseUp:1/4,,,Spectral|NoOverworld,FALSE,EatGood,MagicEgg,TRUE,,,,10,FALSE
